quote,author,author_id,tags
The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.,lbert Einstei,/author/Albert-Einstein,"change,deep-thoughts,thinking,world"
"It is our choices, Harry, that show what we truly are, far more than our abilities.",.K. Rowlin,/author/J-K-Rowling,"abilities,choices"
There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.,lbert Einstei,/author/Albert-Einstein,"inspirational,life,live,miracle,miracles"
"The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.",ane Auste,/author/Jane-Austen,"aliteracy,books,classic,humor"
"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.",arilyn Monro,/author/Marilyn-Monroe,"be-yourself,inspirational"
Try not to become a man of success. Rather become a man of value.,lbert Einstei,/author/Albert-Einstein,"adulthood,success,value"
It is better to be hated for what you are than to be loved for what you are not.,ndré Gid,/author/Andre-Gide,"life,love"
"I have not failed. I've just found 10,000 ways that won't work.",homas A. Ediso,/author/Thomas-A-Edison,"edison,failure,inspirational,paraphrased"
A woman is like a tea bag; you never know how strong it is until it's in hot water.,leanor Roosevel,/author/Eleanor-Roosevelt,misattributed-eleanor-roosevelt
"A day without sunshine is like, you know, night.",teve Marti,/author/Steve-Martin,"humor,obvious,simile"
